openssh,          core, -, pacman, SSH client
fontconfig,       core, -, pacman, Font configuration
ttf-liberation,   core, -, pacman, Fonts
noto-fonts,       core, -, pacman, Fonts
gnu-free-fonts,   core, -, pacman, Fonts
arandr,           core, x, pacman,
xclip,            core, x, pacman, Clipboard manager
xsel,             core, x, pacman,
redshift-minimal, core, x, aur, Night mode
wayland,          core, wayland, pacman, Window system
sway,             core, wayland, pacman, i3-compatible Wayland compositor 
swaylock,         core, wayland, pacman, Screen locker
swayidle,         core, wayland, pacman, Idle management daemon
waybar,           core, wayland, pacman,
qt5-wayland,      core, wayland, pacman, 
glfw-wayland,     core, wayland, pacman,
wl-clipboard,     core, wayland, pacman, Clipboard manager
alacritty,        core, wayland, pacman, Terminal
shotgun,          core, wayland, pacman,
hacksaw,          core, wayland, pacman,
slop,             core, wayland, pacman,

blueman,              audio, -, pacman, Bluetooth Manager
pulseaudio-bluetooth, audio, -, pacman,
pacmixer,             audio, -, aur, Audio mixer

rsync,                  utils, -, pacman,
htop,                   utils, -, pacman, Process viewer
dunst,                  utils, -, pacman, Lightweight and customizable notification daemon 
tldr,                   utils, -, pacman, Succint command documentation with examples
nnn,                    utils, -, pacman, The unorthodox terminal file manager
cronie,                 utils, -, pacman, Cron job manager
cronie-runit,           utils, -, pacman, Runit layer
unzip,                  utils, -, pacman,
neofetch,               utils, -, pacman,
ripgrep,                utils, -, pacman, Grep in Rust
zathura,                utils, -, pacman, Document viewer with vi-styled keybindings
zathura-pdf-mupdf,      utils, -, pacman, EPUB, PDF and XPS support for zathura (mupdf)
zathura-pdf-ps,         utils, -, pacman, PostScript support for zathura
rofi,                   utils, -, pacman, A window switcher, application launcher and dmenu replacement
rofi-lbonn-wayland-git, utils, wayland, aur, Rofi wayland patch

firefox,                   apps, -, pacman, Web Browser
firefox-developer-edition, apps, -, pacman, Web Browser
signal-desktop,            apps, -, pacman, Signal client
slack,                     apps, -, aur, Slack client
stremio,                   apps, -, aur, Video torrent streamer
sc-im,                     apps, -, aur, An ncurses spreadsheet program for terminal
pandoc,                    apps, -, pacman, Convert documents between various formats
texlive-core,              apps, -, pacman, LaTeX distribution
pdflatex,                  apps, -, pacman,
ffmpeg,                    apps, -, pacman, Process multimedia content such as audio, video, subtitles and related metadata
figlet,                    apps, -, pacman, ASCII Art
youtube-dl,                apps, -, pacman, Youtube Downloader
surf,                      apps, x, aur, Lightweight Web Browser

neovim,                            dev, -, pacman, File editor
git,                               dev, -, pacman, The stupid content tracker
git-delta,                         dev, -, pacman, A syntax-highlighting pager for git, diff, and grep output 
bat,                               dev, -, pacman, A cat(1) clone with syntax highlighting and Git integration
shellcheck,                        dev, -, pacman, BASH linter
entr,                              dev, -, pacman, Run arbitrary commands when files change
jq,                                dev, -, aur, JSON parser
typescript,                        dev, -, npm, TypeScript compiler
typescript-language-server,        dev, -, npm, TypeScript LSP server
vscode-langservers-extracted,      dev, -, npm, HTML/CSS/JSON language servers extracted from vscode
graphql-language-service-cli,      dev, -, npm, Interface for building IDE GraphQL language services
remark-language-server,            dev, -, npm, Markdown LSP server
remark,                            dev, -, npm,
remark-stringify,                  dev, -, npm,
remark-parse,                      dev, -, npm,
bash-language-server,              dev, -, npm, BASH LSP server
dockerfile-language-server-nodejs, dev, -, npm, Dockerfile LSP server
yaml-language-server,              dev, -, npm, YAML LSP server
stylelint-lsp,                     dev, -, npm, CSS Stylelint LSP server
npm-check-updates,                 dev, -, npm, Interactive dependency upgrader

